9782742769360;Lignes de faille;Nancy Huston;fr;Entre un jeune Californien du XXIe siècle et une fillette allemande des années 1940, rien de commun si ce n'est le sang. Pourtant, de l'arrière-grand-mère au petit garçon, chaque génération subit les séismes politiques ou intimes déclenchés par la génération précédente. Monstrueuses ou drôles, attachantes ou désespérées, les voix de Sol, Randall, Sadie et ... Entre un jeune Californien du XXIe siècle et une fillette allemande des années 1940, rien de commun si ce n'est le sang. Pourtant, de l'arrière-grand-mère au petit garçon, chaque génération subit les séismes politiques ou intimes déclenchés par la génération précédente. Monstrueuses ou drôles, attachantes ou désespérées, les voix de Sol, Randall, Sadie et Kristina - des enfants de six ans dont chacun est le parent du précédent - racontent, au cours d'une marche à rebours vertigineuse, la violence du monde qui est le nôtre, de San Francisco à Munich, de Haïfa à Toronto et New York. Quel que soit le dieu vers lequel on se tourne, quelle que soit l'époque où l'on vit, l'homme a toujours le dernier mot, et avec lui la barbarie. C'est contre elle pourtant que s'élève ce roman éblouissant où, avec amour, avec rage, Nancy Huston célèbre la mémoire, la fidélité, la résistance et la musique comme alternatives au mensonge.;488;Actes Sud;2007;https://covers.openlibrary.org/b/id/10422108-L.jpg;Roman canadien de langue anglaise;openlibrary+google
9782070368037;L'Amerique;Franz Kafka;fr;"La 4e de couverture indique : ""Lorsque, à seize ans, le jeune Karl Rossmann, que ses pauvres parents envoyaient en exil parce qu'une bonne l'avait séduit et rendu père, entra dans le port de New York sur le bateau déjà plus lent, la statue de fla Liberté, qu'il observait depuis longtemps lui apparut dans un sursaut de lumières. On eût dit que le bras qui brandissait l'épée s'était levé à l'instant même, et l'air libre soufflait autour de ce grand corps...""";371;Gallimard;March 1999;https://covers.openlibrary.org/b/id/967375-L.jpg;;openlibrary+google
9782070422067;Lettre au père;Franz Kafka;fr;Réel et fiction ne font qu'un dans la lettre désespérée que Kafka adresse à son père. Il tente, en vain, de comprendre leur relation qui mêle admiration et répulsion, peur et amour, respect et mépris.;98;Gallimard;January 2, 2002;https://covers.openlibrary.org/b/id/968964-L.jpg;Fiction / General;openlibrary+google
9782070360420;La Peste;Albert Camus;;;355;Gallimard;avril 2022;https://covers.openlibrary.org/b/id/14831798-L.jpg;Fiction|Plague|Plague in literature|Epidemics|Peste bubónica|FICTION / Classics|FICTION / Psychological|FICTION / Literary|Continental european fiction (fictional works by one author)|Medicine in Literature|French fiction|Psychological|Reading Level-Grade 11|Reading Level-Grade 12|Fiction, medical|France, fiction|Drama (dramatic works by one author)|Romance literature|Fiction, psychological|Fiction, classics|Determination (Personality trait)|Peste|Romans, nouvelles|Romance Frances|Novela|Disease Outbreaks|Fictional Works|Psychology|Psychological fiction;openlibrary+google
9782080706188;Timée, Critias;Πλάτων;fr;;438;Flammarion;1992;https://books.google.com/books/content?id=XusDAQAAIAAJ&printsec=frontcover&img=1&zoom=6&imgtk=AFLRE709_YjZ3ahgXHi1n1JhRKt5vwM37XUUTn0Cmywavc_JCSdA3wF9mzN6bNihwJSXme0FIPrfnSfpXZHiNh1tMZ1tK7FCbeegVlEjXwnYcPetCi6o33yDZtyXPALDySddFLUKyYlm&source=gbs_api;Atlantis (Legendary place)|Early works to 1800|Cosmology|Philosophy|Greek literature, translations into english;openlibrary+google
9782267047554;Le livre de l'intranquillité;Fernando Pessoa;fr;"Journal de bord de Fernando Pessoa, Le Livre de l'intranquillité est l'oeuvre de toute une vie d'un génie de la littérature mondiale. Morceaux de journaux intimes, aphorismes et réflexions s'y entremêlent pour dessiner les contours d'une mélancolie lucide qui résiste au temps. Pessoa attribue son écrit à un modeste employé de bureau insomniaque, Bernardo Soares, et raconte une existence ordinaire, une ""autobiographie sans événement"", à laquelle le protagoniste ne peut accéder en raison de ses innombrables contradictions. Comment vivre en souhaitant à la fois la solitude et la compagnie des vivants ? C'est seulement la nuit, dans les rues désertes de Lisbonne, que le narrateur retrouve une quiétude momentanée. Fernando Pessoa a travaillé plus de vingt ans à cet ouvrage, dont la traduction de Françoise Laye transmet avec transparence la force poétique et dramatique, fun des chefs-d'oeuvre de la littérature du XXe siècle.-- (payot)";624;Christian Bourgois Editeur;2024-10-10;;;google
9782910188139;L' effet pervers;Michel Collin;fr;Un jeune berger andalou, Santiago, part à la recherche d'un trésor enfoui au pied des pyramides. Il découvrira pendant son périple la clef d'une quête spirituelle. 'L' Alchimiste' est le récit d'une quête, celle de Santiago, un jeune berger andalou parti à la recherche d'un trésor enfoui au pied des Pyramides. Dans le désert, initié par l'alchimiste, il apprendra à écouter son coeur, à lire les signes du destin et, par-dessus tout, à aller au bout de son rêve. Destiné à l'enfant que chaque être cache en soi, 'L' Alchimiste' est un merveilleux conte philosophique, que l'on compare souvent au Petit Prince, de Saint Exupéry, et à Jonathan Livingston le Goéland, de Richard Bach.;274;Editions A. Carrière;1994;https://covers.openlibrary.org/b/id/15122194-L.jpg;Social conditions|Social institutions|Politics and government|Democracy;openlibrary+google
9782253009160;La machine infernale;Jean Cocteau;;;126;Librairie générale française;1974;https://covers.openlibrary.org/b/id/976637-L.jpg;Drama|Oedipus (Greek mythology)|French drama|French literature|Drama (dramatic works by one author);openlibrary+google
9782253149972;Le Neveu De Rameau Satires Contes Et Entretiens;Denis Diderot;fr;« Qu'il fasse beau, qu'il fasse laid, c'est mon habitude d'aller sur les cinq heures du soir me promener au Palais-Royal... » Et celui que Diderot rencontre ce jour-là est le neveu du célèbre musicien Jean-Philippe Rameau. Les voilà réunis au Café de la Régence, au milieu des buveurs et des joueurs d'échecs, et l'entretien entre LUI et MOI est une satire qui ne ménage pas les puissants du jour, financiers aussi bien qu'adversaires de l'Encyclopédie. Et cette vigueur polémique est pour beaucoup dans le charme étrange de ce dialogue où Diderot égrène les idées, les jeux de mots, les anecdotes, les formules et les aperçus sur tous les sujets, dans un entretien libre et jaillissant, pétillant de verve et d'ironie.Diderot n'a jamais parlé du Neveu dont on ne sait quand il fut composé, et le texte a d'abord cheminé sous le manteau. En 1805, Goethe y voit sans conteste l'un des chefs-d'oeuvre de Diderot, le traduit, et, en 1821, c'est la traduction de sa traduction qu'on propose au public comme un inédit. Le manuscrit autographe ne sera découvert, par hasard, qu'en 1890.Edition de Pierre Chartier.Texte intégral.;153;Librairie générale française;June 2001;https://covers.openlibrary.org/b/id/3103764-L.jpg;Philosophie|Étude et enseignement;openlibrary+google
9782266073356;Le fils de la lumière;Christian Jacq|Antoni Dalmau i Ribalta;fr;Lorsqu'on évoque la grandeur de l'Égypte ancienne, un nom vient immédiatement à l'esprit : Ramsès, qui régna pendant plus de soixante ans. Pour l'heure, Ramsès n'a que quatorze ans. Son père, Séthi, pharaon vénéré par son peuple, a su faire de son empire le plus puissant du monde. Mais qui lui succèdera? Son fils aîné, Chénar, rusé et calculateur ou Ramsès, bouillant et passionné?;441;Robert Laffont;1997;https://covers.openlibrary.org/b/id/10393057-L.jpg;Fiction|Civilization|Ramses in fiction|Egypt in fiction|Historical Fiction|Fiction, historical, general|Fiction, general|Littérature française|Roman|Romans, nouvelles|Large type books|Ramses iii, king of egypt|Egypt, fiction|Composers|Freemasonry|History|Ramses ii, king of egypt|Mozart, wolfgang amadeus, 1756-1791;openlibrary+google
